importer,archive,scope,caller_class,symbol,reference_kinds,lines
experiments/foundry_consolidate_run1_apply.py,False,legacy_executable,codebook or membership mutation,halt,qualified_attribute,104;108;115;121;130;134;141;290;326;367;387;409;414;487;521;575;598;621;625;669;739;743;748;779;887;960;964
experiments/foundry_consolidate_run1_apply.py,False,legacy_executable,codebook or membership mutation,load_corpus_gated,qualified_attribute,304;652;865
experiments/foundry_consolidate_run1_apply.py,False,legacy_executable,codebook or membership mutation,write_json,qualified_attribute,639;690;855;1036
experiments/foundry_consolidate_run1_classify.py,False,legacy_executable,codebook or membership mutation,CONFIG_SEMANTIC,qualified_attribute,42
experiments/foundry_consolidate_run1_classify.py,False,legacy_executable,codebook or membership mutation,FOUNDRY_OUT_DIR,qualified_attribute,40;41;766
experiments/foundry_consolidate_run1_classify.py,False,legacy_executable,codebook or membership mutation,halt,qualified_attribute,175;360;413;444;472;595;598;607;609;787
experiments/foundry_consolidate_run1_classify.py,False,legacy_executable,codebook or membership mutation,write_json,qualified_attribute,783
experiments/foundry_consolidate_run1_enumerate.py,False,legacy_executable,codebook or membership mutation,FOUNDRY_OUT_DIR,qualified_attribute,56;57
experiments/foundry_consolidate_run1_enumerate.py,False,legacy_executable,codebook or membership mutation,halt,qualified_attribute,71;78;88;174;180;204;240;274;362;376;382;421;472
experiments/foundry_consolidate_run1_enumerate.py,False,legacy_executable,codebook or membership mutation,load_corpus_gated,qualified_attribute,113
experiments/foundry_consolidate_run1_enumerate.py,False,legacy_executable,codebook or membership mutation,write_json,qualified_attribute,497
experiments/foundry_corpus_pass_run1.py,False,legacy_executable,operator/CLI,FOUNDRY_OUT_DIR,qualified_attribute,46;47;48;49
experiments/foundry_corpus_pass_run1.py,False,legacy_executable,operator/CLI,halt,qualified_attribute,75;78;110;112;123
experiments/foundry_corpus_pass_run1.py,False,legacy_executable,operator/CLI,load_corpus_gated,qualified_attribute,53
experiments/foundry_corpus_pass_run1.py,False,legacy_executable,operator/CLI,write_json,qualified_attribute,67;103
experiments/foundry_corroboration_pass.py,False,legacy_executable,codebook or membership mutation,halt,qualified_attribute,127
experiments/foundry_cr.py,False,legacy_executable,operator/CLI,CONFIG_CR,qualified_attribute,117
experiments/foundry_cr.py,False,legacy_executable,operator/CLI,halt,qualified_attribute,148;168
experiments/foundry_cr702_classes.py,False,legacy_executable,operator/CLI,halt,qualified_attribute,125;140
experiments/foundry_cr702_classes.py,False,legacy_executable,operator/CLI,load_corpus_gated,qualified_attribute,205
experiments/foundry_cr_checks.py,False,legacy_executable,gate/check,CONFIG_GENERATED,qualified_attribute,72
experiments/foundry_cr_checks.py,False,legacy_executable,gate/check,REPO_ROOT,qualified_attribute,70
experiments/foundry_cr_checks.py,False,legacy_executable,gate/check,gate_passes,qualified_attribute,149
experiments/foundry_cr_checks.py,False,legacy_executable,gate/check,halt,qualified_attribute,191
experiments/foundry_cr_checks.py,False,legacy_executable,gate/check,load_corpus,qualified_attribute,148
experiments/foundry_cr_edition_diff.py,False,legacy_executable,operator/CLI,halt,qualified_attribute,96;102;139
experiments/foundry_det_pass.py,False,legacy_executable,codebook or membership mutation,CONFIG_SEMANTIC,qualified_attribute,59
experiments/foundry_det_pass.py,False,legacy_executable,codebook or membership mutation,FOUNDRY_OUT_DIR,qualified_attribute,60;61;62;63
experiments/foundry_det_pass.py,False,legacy_executable,codebook or membership mutation,det_scan_texts,qualified_attribute,395;552
experiments/foundry_det_pass.py,False,legacy_executable,codebook or membership mutation,full_oracle_text,qualified_attribute,438
experiments/foundry_det_pass.py,False,legacy_executable,codebook or membership mutation,halt,qualified_attribute,148;156;176;187;192;211;254;301;347;497;518;527;535;611;621
